0,-1935.7,-535.6,539.59,291155.39,1884.8,H
1,-1318.6,-560.4,394.21,155404.41,1292.7,H
2,-958.4,-485.25,288.25,83088.84,930.6,H
3,-1532.4,-596.5,503.22,253226.8,1417.1,H
4,-1707.3,-872.7,605.62,366780.95,1698.9,H
5,-2838.9,-810.75,964.02,929332.74,2765.5,H
6,-732.6,-355.6,200.18,40070.33,701.2,H
7,-1933.5,-527.25,578.16,334272.98,1924.1,H
8,-1993.4,-350.45,538.03,289477.42,1944.7,H
9,-1454.7,-536.1,420.8,177069.24,1378.3,H
10,-817.6,-332.6,207.89,43218.93,752.5,H
11,,H,,,,
12,-522.4,-327.55,145.33,21120.35,441.9,H
13,-2977.6,-2037.8,941.82,887021.25,2915.9,H
14,-2662.8,-1821.8,878.55,771847.08,2634.8,H
15,-126.6,-96.8,25.86,668.58,63.3,H
16,-9183.3,-487.2,2925.87,8560689.51,9177.1,H
17,-456.0,-298.1,117.54,13814.76,367.2,H
18,-2013.2,-619.,668.36,446698.6,1907.4,H
19,-299.8,-187.2,104.89,11002.02,256.3,H
20,-1081.7,-404.85,335.79,112755.29,1041.3,H
21,-553.7,-314.9,177.28,31429.76,491.9,H
22,-95.5,-56.1,31.88,1016.56,95.0,H
23,-448.7,-397.8,148.43,22030.44,401.3,H
24,-3387.5,-1319.5,1160.03,1345658.06,3339.8,H
25,-1882.0,-859.45,724.96,525568.02,1821.4,H
26,-912.1,-345.15,302.02,91216.9,860.2,H
27,-26.8,-5.2,8.64,74.6,26.4,H
28,-24.4,-6.5,6.74,45.47,24.2,H
29,-447.3,-226.7,113.01,12771.89,440.0,H
30,-467.2,-237.,150.61,22684.66,411.0,H
31,-22.4,-9.,6.62,43.82,22.2,H
32,-1846.0,-909.45,586.88,344431.43,1845.4,H
33,,H,,,,
34,-1970.8,-1011.4,575.77,331516.56,1879.1,H
35,-331.7,-186.7,110.59,12231.13,275.9,H
36,-740.6,-245.4,259.63,67408.97,722.5,H
37,-1051.9,-419.5,386.47,149358.43,1021.9,H
38,-1092.8,-708.4,353.43,124915.54,1000.1,H
39,-670.9,-349.8,179.26,32132.85,669.9,S
40,-172.0,-134.4,39.14,1532.27,93.6,S
41,-1272.3,-773.8,404.93,163967.16,1237.7,S
42,-614.5,-204.8,174.28,30372.95,612.9,S
43,-649.4,-303.25,170.93,29217.74,561.2,S
44,-1572.7,-399.8,437.79,191662.29,1540.5,S
45,-285.2,-183.45,90.41,8173.14,275.6,S
46,-1475.8,-996.5,466.42,217546.65,1403.9,S
47,-606.8,-227.7,168.54,28406.45,586.1,S
48,-597.2,-302.,211.9,44902.66,580.5,S
49,-1136.0,-834.6,346.85,120306.73,1089.5,S
50,-1399.0,-415.,424.2,179943.08,1355.6,S
51,-2695.3,-921.1,1028.99,1058817.96,2686.7,S
52,-445.5,-128.,147.8,21844.59,438.6,S
53,-2234.6,-983.8,748.34,560013.2,2185.4,S
54,-1337.4,-809.3,386.06,149041.38,1319.1,S
55,-1703.8,-562.55,446.02,198933.36,1565.8,S
56,-1039.6,-483.25,297.72,88638.83,1034.6,S
57,-1219.4,-563.9,357.95,128126.92,1198.8,S
58,-1029.5,-592.75,264.57,69996.61,1019.7,S
59,-1372.0,-537.2,355.22,126181.55,1330.5,S
60,-884.2,-364.75,308.31,95057.05,851.4,S
61,-1671.1,-513.8,509.96,260057.47,1666.9,S
62,-648.7,-217.8,201.39,40559.54,564.3,S
63,-1020.9,-747.5,350.59,122912.59,970.3,S
64,-853.3,-676.3,248.67,61835.72,699.1,S
65,-233.4,-88.1,73.27,5368.7,222.2,S
66,-1476.8,-695.7,511.3,261426.37,1464.1,S
67,-814.6,-323.8,217.84,47452.24,812.4,S
68,-361.9,-212.,125.61,15777.01,352.6,S
69,-21.1,-6.55,5.8,33.64,20.7,S
70,-759.2,-476.5,287.08,82414.65,757.5,S
71,,S,,,,
72,-511.6,-69.5,175.66,30856.58,510.2,S
73,-918.8,-244.1,287.12,82436.72,911.2,S
74,-428.1,-272.95,134.55,18102.96,375.0,S
75,-293.2,-107.05,101.59,10319.55,279.9,S
76,-1340.4,-480.1,374.52,140263.74,1213.6,S
77,-784.0,-578.2,240.61,57895.18,745.4,S
0,-8471.2,-4377.4,2749.6,7560314.62,8373.6,H
1,-5427.2,-1641.4,1502.44,2257326.06,5227.7,H
2,-4767.5,-1778.65,1276.42,1629248.23,4724.5,H
3,-2615.1,-1428.8,829.68,688361.5,2473.4,H
4,-9328.7,-7254.1,2800.68,7843826.36,9167.1,H
5,,H,,,,
6,-10620.2,-3918.4,3336.36,11131310.16,10485.6,H
7,-2051.1,-1032.75,427.88,183080.74,1789.9,H
8,-2449.1,-1686.,574.43,329975.04,2328.6,H
9,-17675.8,-7694.95,4016.1,16129052.21,16777.2,H
10,-14717.6,-5939.2,5176.18,26792798.0,14007.8,H
11,-20086.6,-11015.6,6465.69,41805177.48,19873.8,H
12,-4048.0,-2152.95,1244.96,1549919.26,3975.2,H
13,-13194.0,-5693.2,2785.67,7759978.61,10681.2,H
14,-5060.4,-1341.95,1510.31,2281025.51,4886.0,H
15,-3414.0,-1829.5,1179.38,1390945.47,3396.1,H
16,-7818.4,-1388.8,1930.85,3728169.92,7811.4,H
17,-4539.8,-2414.,1591.04,2531397.11,4505.0,H
18,-9368.8,-5656.35,2303.65,5306797.28,8223.1,H
19,-981.5,-842.45,68.85,4740.52,176.7,H
20,-5701.1,-3916.4,1683.66,2834695.99,5641.5,H
21,-15813.0,-9839.,5842.79,34138152.98,14533.9,H
