0.,0.,26.9,88.8,123.8,155.1,211.9,261.75,247.2,208.3,158.95,77.5,-13.35,-117.85,-163.6,-199.5,-271.8,-249.65,116.85,424.8,791.3,1418.75,1877.55,2135.25,2195.1,2127.35,2046.7,1956.2,1628.4,1378.2,1026.,337.45,-255.55,-655.25,-798.3,-725.95,-629.8,-611.3,-635.45,-654.3,-619.25,-476.7,-278.55,-93.95,0.,0.,H
0.,2.5,5.,14.7,41.25,62.2,75.65,85.,96.05,52.6,-64.55,-172.45,-217.7,-239.5,-335.5,-507.1,-697.7,-790.9,-842.95,-905.55,-907.85,-904.1,-908.6,-942.05,-947.25,-780.15,-521.05,-400.8,-327.1,-160.15,-38.,-13.25,-17.4,27.1,100.7,84.25,2.3,-34.1,-66.8,-127.7,-130.4,-53.5,-2.1,-1.05,0.,0.,H
0.,0.,0.,0.,36.95,118.1,204.6,246.9,230.1,200.45,180.55,161.7,149.9,163.7,226.65,375.5,494.75,514.3,499.05,494.65,496.45,502.,516.6,530.05,487.2,330.8,192.8,154.9,227.65,293.4,272.65,256.1,253.3,226.05,169.,95.4,27.65,3.7,-37.,-68.7,-29.85,0.,0.,0.,0.,0.,H
0.,0.,0.,0.,33.,101.65,181.7,269.65,313.2,352.85,441.75,544.75,612.3,626.1,577.6,399.75,189.6,41.95,-24.9,-41.,-76.1,-146.05,-192.35,-187.7,-90.,197.2,525.25,749.7,835.6,881.55,922.6,914.9,893.65,875.2,793.,615.,417.05,252.3,189.7,120.2,25.35,0.,0.,0.,0.,0.,H
0.,0.,0.,0.,0.,6.25,12.5,43.95,110.25,166.05,176.2,165.4,155.3,289.7,711.25,1315.55,1642.8,1895.2,2368.1,2759.8,3040.85,3150.7,3205.75,3106.7,2650.2,1937.4,1527.,1182.6,523.85,-88.2,-484.95,-584.,-628.95,-664.3,-629.35,-527.1,-450.2,-389.65,-270.1,-105.55,0.,0.,0.,0.,0.,0.,H
0.,-120.95,-364.6,-487.3,-606.5,-828.9,-1031.35,-1228.75,-1326.9,-1415.15,-1581.75,-1596.6,-1469.1,-1405.1,-1309.55,-1179.7,-1064.25,-926.25,-869.4,-933.5,-1053.95,-1190.25,-1356.2,-1442.2,-1557.85,-1703.85,-1814.5,-1959.6,-2024.4,-1954.,-1832.4,-1717.2,-1580.1,-1507.,-1367.7,-1129.15,-931.5,-727.,-620.9,-538.95,-373.5,-216.6,-71.6,0.,0.,0.,H
0.,0.,0.,0.,0.,0.,-60.25,-120.5,-168.55,-240.55,-294.1,-321.35,-319.,-287.7,-228.9,-177.4,-107.3,-61.2,37.,168.2,154.7,59.95,11.7,-55.55,-211.95,-401.7,-429.7,-357.1,-362.85,-317.2,-189.7,-67.7,-21.8,14.15,111.75,250.,268.15,209.7,165.3,60.45,0.,0.,0.,0.,0.,0.,H
-22.5,-22.5,-9.7,8.2,22.05,34.95,39.1,6.9,-107.9,-273.7,-295.45,-234.,-169.45,211.7,934.7,1675.85,2010.6,2332.85,2983.05,3501.4,3568.45,3445.1,3410.1,3078.1,2340.65,1498.6,1097.,682.15,-150.45,-802.2,-1077.85,-1119.5,-1257.7,-1296.5,-1153.35,-1046.9,-984.2,-859.4,-562.2,-263.,-21.4,93.4,189.25,161.,18.45,0.,H
-289.1,-323.7,-375.25,-392.2,-407.1,-442.5,-492.6,-490.95,-459.7,-460.65,-359.3,-196.7,-41.9,52.6,139.75,349.35,561.95,676.55,701.,702.15,610.75,456.95,281.75,167.8,51.85,-207.2,-446.15,-553.85,-565.7,-524.4,-453.6,-375.55,-273.85,-220.7,-150.95,-10.,125.4,186.65,183.7,176.8,181.15,179.4,149.65,132.9,106.85,80.8,H
-423.7,-460.3,-541.7,-616.05,-645.6,-667.55,-639.,-551.9,-460.25,-405.2,-315.1,-134.,0.4,111.9,180.,260.55,402.4,543.35,658.6,694.2,694.05,594.55,437.1,229.3,79.6,-90.05,-420.8,-757.05,-1106.1,-1280.,-1430.2,-1645.45,-1744.75,-1763.75,-1748.5,-1713.05,-1682.25,-1712.45,-1744.85,-1751.7,-1641.9,-1422.1,-1218.35,-1028.7,-932.8,-932.8,H
