2783262,2783262,2783262,2783262,2783262,2783262,2782882,2782266,2781871,2781871,2781309,2781125,2781117,2781665,2781665,2782019,2781436,2780356,2779573,2779573,2778754,2778115,2777734,2775888,2775888,2779248,2782108,2789539,2797337,2797337,2802797,2806280,2809827,2811282,2811282,2811513,2811305,2810931,2810931,2810931,2810931,2810931,2810931,M
2781056,2781056,2781056,2781056,2781056,2781056,2781056,2781056,2781056,2782292,2783056,2783530,2783990,2783990,2784418,2784551,2784812,2785108,2785108,2784629,2784012,2784179,2784351,2784351,2786196,2786778,2786403,2785814,2785814,2784959,2784030,2782663,2781503,2781503,2780428,2780428,2780428,2780428,2780428,2780428,2780428,2780428,2780428,S
2780059,2780059,2780059,2780059,2780059,2780059,2780059,2780059,2780059,2780440,2780546,2780576,2780524,2780524,2780569,2780652,2777489,2780009,2780009,2781365,2791832,2799118,2804714,2804714,2811582,2819416,2823280,2825248,2825248,2823733,2824288,2823322,2822968,2822968,2822080,2822080,2822080,2822080,2822080,2822080,2822080,2822080,2822080,H
2796353,2796353,2796353,2796353,2796353,2796353,2796353,2796916,2797621,2797120,2796084,2796084,2794694,2793883,2793044,2792377,2792377,2792246,2791995,2792107,2794134,2794134,2796778,2797233,2801275,2804747,2804747,2808028,2810561,2811345,2810113,2810113,2808412,2807079,2805759,2804551,2804551,2804551,2804551,2804551,2804551,2804551,2804551,M
2807988,2807988,2807988,2807988,2807988,2807988,2807988,2807988,2807982,2807883,2807883,2808291,2808221,2807979,2806609,2806609,2805122,2807132,2812485,2814617,2814617,2816260,2819374,2820224,2819086,2819086,2816120,2815681,2814363,2813455,2813455,2812179,2810192,2807017,2804225,2804225,2804225,2804225,2804225,2804225,2804225,2804225,2804225,H
2827693,2827693,2827693,2827693,2827693,2827693,2827693,2827693,2827693,2827693,2827693,2826327,2826327,2824475,2822659,2820814,2819802,2819802,2818543,2818233,2818481,2818297,2818297,2818780,2818798,2818338,2816887,2816887,2815812,2815091,2814468,2814468,2813051,2813051,2813051,2813051,2813051,2813051,2813051,2813051,2813051,2813051,2813051,S
2785350,2778829,2769188,2761397,2761397,2754259,2747774,2741606,2741606,2736380,2730504,2725577,2720899,2720899,2716014,2712872,2710749,2709597,2709597,2707480,2705979,2705581,2704298,2704298,2704097,2702944,2703655,2704400,2704400,2707284,2712668,2719052,2728646,2728646,2743057,2756791,2768742,2778803,2778803,2780207,2776931,2775482,2775763,M
2816142,2816142,2818208,2820690,2822993,2824707,2824707,2826835,2828864,2830587,2830654,2830654,2827064,2820497,2813780,2809178,2809178,2806648,2805539,2805086,2804512,2804512,2803778,2803863,2803769,2804213,2804213,2804698,2806051,2808091,2810776,2810776,2813415,2815972,2816768,2813106,2813106,2805557,2798638,2794816,2793425,2793425,2792906,S
2742154,2740084,2740084,2738028,2737705,2737146,2738743,2738743,2740408,2742213,2744778,2746966,2746966,2749564,2751304,2752442,2752640,2752640,2752051,2751477,2749152,2745496,2745496,2741189,2737888,2736590,2735036,2735036,2735953,2741707,2753673,2770183,2770183,2785105,2797600,2808444,2815259,2815259,2820247,2824938,2829475,2829351,2829351,H
2631102,2632076,2632330,2632063,2632063,2623714,2610585,2595965,2578980,2578980,2563536,2548474,2532846,2518451,2518451,2505014,2501219,2507819,2514201,2514201,2514357,2516399,2521240,2525178,2525178,2525752,2527181,2521276,2517671,2517671,2511890,2506155,2510949,2513548,2513548,2507694,2530413,2555335,2577333,2577333,2610743,2630971,2645058,M
